Signal Legend:

Key        Signal Name

0        = data0[0..13]
1        = data0[14]
2        = data0[15]

Data Table:

Signals-> 0     1 2 

sample

-17       0050h 0 0 
-16       3EB3h 0 0 
-15       004Ah 0 0 
-14       004Fh 0 0 
-13       0052h 0 0 
-12       3EE6h 0 0 
-11       0055h 0 0 
-10       004Dh 0 0 
-9        0051h 0 0 
-8        3EE7h 0 0 
-7        004Ch 0 0 
-6        004Dh 0 0 
-5        0051h 0 0 
-4        3EE5h 0 0 
-3        0048h 0 0 
-2        004Eh 0 0 
-1        0052h 0 0 
0         3EE4h 0 0 
1         004Ch 0 0 
2         004Fh 0 0 
3         0051h 0 0 
4         3EE3h 0 0 
5         0050h 0 0 
6         004Dh 0 0 
7         0050h 0 0 
8         3EDFh 0 0 
9         004Bh 0 0 
10        004Eh 0 0 
11        0048h 0 0 
12        3ED9h 0 0 
13        004Fh 0 0 
14        004Eh 0 0 
15        0050h 0 0 
16        3ED1h 0 0 
17        004Fh 0 0 
18        004Bh 0 0 
19        0053h 0 0 
20        3EC3h 0 0 
21        004Dh 0 0 
22        004Ch 0 0 
23        0052h 0 0 
24        3ED1h 0 0 
25        004Bh 0 0 
26        004Eh 0 0 
27        0051h 0 0 
28        3EF6h 0 0 
